,Date,Low,Open,Volume,High,Close,Adjusted Close
8994,21-02-2019,184.75,186.38999938964844,2947600,187.3999938964844,185.5,168.43112182617188
8995,22-02-2019,185.80999755859372,185.88999938964844,2774100,188.8600006103516,187.5,170.24708557128906
8996,25-02-2019,187.88999938964844,188.66000366210935,3182600,190.47000122070312,189.80999755859372,172.3445281982422
8997,26-02-2019,189.3600006103516,189.55999755859372,2431000,191.6499938964844,190.0800018310547,172.58969116210938
8998,27-02-2019,188.66000366210935,188.7400054931641,1886200,192.19000244140625,191.4199981689453,173.806396484375
8999,28-02-2019,189.72999572753903,191.3800048828125,2776200,191.6300048828125,190.0800018310547,172.58969116210938
9000,01-03-2019,190.47000122070312,191.38999938964844,2409400,192.05999755859372,191.16000366210935,173.5703125
9001,04-03-2019,187.41000366210935,191.82000732421875,2274800,192.1199951171875,189.77999877929688,172.31729125976562
9002,05-03-2019,188.7899932861328,190.0,3445200,190.6699981689453,188.82000732421875,171.44561767578125
9003,06-03-2019,182.42999267578125,188.8800048828125,3956100,189.3699951171875,183.1499938964844,166.29737854003906
9004,07-03-2019,180.6000061035156,182.9199981689453,3421700,183.16000366210935,181.4600067138672,164.76287841796875
9005,08-03-2019,179.00999450683594,180.6000061035156,2750900,181.30999755859372,180.8699951171875,164.22714233398438
9006,11-03-2019,181.3999938964844,181.83999633789065,2816900,184.6000061035156,184.13999938964844,167.19625854492188
9007,12-03-2019,183.5200042724609,184.6100006103516,2677500,184.9499969482422,184.17999267578125,167.23257446289062
9008,13-03-2019,184.19000244140625,184.6999969482422,2719700,188.33999633789065,187.3500061035156,170.1108856201172
9009,14-03-2019,185.88999938964844,187.52999877929688,2909600,188.8600006103516,187.75999450683597,170.48316955566406
9010,15-03-2019,188.1000061035156,188.4600067138672,6865000,191.63999938964844,191.2400054931641,173.64295959472656
9011,18-03-2019,190.19000244140625,191.0800018310547,2430200,192.5200042724609,191.30999755859372,173.70648193359375
9012,19-03-2019,190.9199981689453,191.92999267578125,2268700,192.75999450683597,191.4900054931641,173.8699493408203
9013,20-03-2019,189.8699951171875,191.5,2378700,192.7700042724609,191.1199951171875,173.53396606445312
9014,21-03-2019,189.17999267578125,189.72999572753903,2292900,192.3699951171875,191.88999938964844,174.23312377929688
9015,22-03-2019,186.5500030517578,190.9600067138672,3144700,192.8699951171875,186.6999969482422,169.52069091796875
9016,25-03-2019,185.0399932861328,186.63999938964844,2523700,187.77999877929688,186.58999633789065,169.42080688476562
9017,26-03-2019,187.02999877929688,187.5500030517578,2359100,189.58999633789065,188.2700042724609,170.9462432861328
9018,27-03-2019,185.22000122070312,188.25,2022600,188.6000061035156,186.32000732421875,169.1757049560547
9019,28-03-2019,186.0,187.0800018310547,1885600,187.88999938964844,187.6499938964844,170.38328552246094
9020,29-03-2019,188.5,189.3699951171875,3189700,191.0,189.97999572753903,172.49887084960938
9021,01-04-2019,190.50999450683597,191.13999938964844,2660500,192.55999755859372,191.7700042724609,174.1241912841797
9022,02-04-2019,191.1999969482422,191.80999755859372,2141800,192.82000732421875,192.42999267578125,174.7234649658203
9023,03-04-2019,191.7100067138672,193.17999267578125,1948100,193.8699951171875,192.9199981689453,175.1683349609375
9024,04-04-2019,190.9900054931641,192.8500061035156,1785900,194.42999267578125,192.3300018310547,174.63265991210938
9025,05-04-2019,193.3000030517578,193.8800048828125,2163300,196.8699951171875,195.41000366210935,177.42926025390625
9026,08-04-2019,192.55999755859372,194.52999877929688,1629800,195.30999755859372,194.8800048828125,176.94802856445312
9027,09-04-2019,192.50999450683597,193.58999633789065,1872600,194.0,192.97999572753903,175.22286987304688
9028,10-04-2019,192.33999633789065,194.1499938964844,1653200,195.0,193.88999938964844,176.04913330078125
9029,11-04-2019,190.6499938964844,194.57000732421875,2082600,194.7899932861328,192.1100006103516,174.43289184570312
