Date,Close-Last,Volume,Open,High,Low,,,
10-07-2019,99.01 ,658049,98.90 ,99.86 ,98.05 ,,,
10-04-2019,99.23 ,542507,97.39 ,99.34 ,97.38 ,,,
10-03-2019,97.14 ,449362,95.53 ,97.18 ,95.30 ,,,
10-02-2019,95.74 ,858180,97.85 ,97.95 ,95.63 ,,,
10-01-2019,98.59 ,567598,99.31 ,99.33 ,98.03 ,,,
09-30-2019,99.35 ,634549,100.22 ,100.43 ,99.15 ,,,
09-27-2019,100.08 ,643556,102.57 ,102.80 ,99.76 ,,,
09-26-2019,101.82 ,443062,102.40 ,102.40 ,100.94 ,,,
09-25-2019,102.76 ,1142852,101.82 ,103.05 ,101.13 ,,,
09-24-2019,101.37 ,1053565,101.32 ,102.52 ,100.61 ,,,
09-23-2019,100.25 ,765577,100.62 ,101.69 ,100.06 ,,,
09-20-2019,100.68 ,631669,101.91 ,101.98 ,100.59 ,,,
09-19-2019,101.68 ,407642,102.49 ,103.32 ,101.17 ,,,
09-18-2019,102.62 ,469824,103.22 ,103.28 ,101.27 ,,,
09-17-2019,102.73 ,1109417,99.89 ,103.02 ,99.27 ,,,
09-16-2019,99.28 ,632065,99.35 ,100.52 ,98.47 ,,,
09-13-2019,99.52 ,569531,99.68 ,99.89 ,97.75 ,,,
09-12-2019,99.00 ,488106,98.29 ,100.01 ,98.29 ,,,
09-11-2019,98.18 ,840296,98.08 ,98.60 ,96.73 ,,,
09-10-2019,98.15 ,780682,102.89 ,102.89 ,97.56 ,,,
09-09-2019,102.84 ,537386,104.79 ,105.26 ,102.67 ,,,
09-06-2019,104.26 ,751608,102.35 ,104.44 ,102.15 ,,,
09-05-2019,102.02 ,608903,100.71 ,102.11 ,100.24 ,,,
09-04-2019,99.91 ,405011,100.02 ,100.17 ,99.15 ,,,
09-03-2019,99.53 ,363904,99.84 ,100.10 ,99.02 ,,,
08-30-2019,99.84 ,385201,100.03 ,100.39 ,99.38 ,,,
08-29-2019,99.77 ,338829,99.64 ,99.83 ,98.54 ,,,
08-28-2019,98.53 ,313673,98.02 ,98.59 ,97.30 ,,,
08-27-2019,98.27 ,494070,99.39 ,99.39 ,97.84 ,,,
08-26-2019,98.67 ,598227,98.24 ,98.70 ,97.46 ,,,
08-23-2019,97.52 ,681424,99.69 ,100.45 ,97.00 ,,,
08-22-2019,100.13 ,419598,99.63 ,100.42 ,99.19 ,,,
08-21-2019,99.32 ,408497,99.50 ,99.50 ,98.60 ,,,
08-20-2019,98.91 ,556589,99.01 ,99.69 ,98.45 ,,,
08-19-2019,99.42 ,621529,98.40 ,99.68 ,98.17 ,,,
08-16-2019,97.53 ,597105,97.38 ,97.97 ,96.94 ,,,
08-15-2019,96.98 ,468563,95.45 ,97.35 ,95.36 ,,,
08-14-2019,95.32 ,560475,96.40 ,97.50 ,95.26 ,,,
08-13-2019,97.93 ,578889,96.27 ,98.48 ,96.10 ,,,
08-12-2019,96.58 ,498515,97.91 ,98.17 ,96.57 ,,,
08-09-2019,98.54 ,586951,97.92 ,98.97 ,97.42 ,,,
08-08-2019,98.26 ,742654,96.79 ,98.38 ,96.05 ,,,
08-07-2019,96.12 ,944983,94.89 ,96.48 ,93.46 ,,,
08-06-2019,95.85 ,765912,95.01 ,96.14 ,94.21 ,,,
08-05-2019,94.36 ,1072679,97.31 ,97.33 ,93.95 ,,,
08-02-2019,97.95 ,775073,97.72 ,98.47 ,96.96 ,,,
08-01-2019,97.65 ,986319,96.20 ,98.25 ,96.20 ,,,
07-31-2019,96.37 ,592404,96.98 ,97.05 ,95.85 ,,,
07-30-2019,96.80 ,591623,96.34 ,97.08 ,95.96 ,,,
07-29-2019,96.67 ,599741,98.09 ,98.22 ,96.42 ,,,
07-26-2019,98.06 ,774002,97.79 ,98.39 ,97.38 ,,,
07-25-2019,97.61 ,1147331,98.23 ,98.81 ,97.45 ,,,
07-24-2019,98.22 ,2170509,99.99 ,100.24 ,96.27 ,,,
07-23-2019,100.86 ,1174644,101.81 ,102.56 ,100.44 ,,,
07-22-2019,101.78 ,730215,100.50 ,102.39 ,99.25 ,,,
07-19-2019,101.73 ,664770,103.14 ,103.39 ,101.68 ,,,
07-18-2019,103.14 ,706376,102.51 ,103.35 ,102.21 ,,,
07-17-2019,102.64 ,803430,103.25 ,103.57 ,102.51 ,,,
07-16-2019,103.29 ,664388,104.45 ,104.69 ,103.28 ,,,
07-15-2019,104.22 ,520655,104.36 ,104.46 ,103.60 ,,,
07-12-2019,104.28 ,532453,104.23 ,104.62 ,103.75 ,,,
07-11-2019,104.01 ,774720,103.04 ,104.12 ,102.60 ,,,
07-10-2019,103.02 ,906376,102.17 ,103.60 ,102.17 ,,,
07-09-2019,101.61 ,458782,100.55 ,101.67 ,100.37 ,,,
07-08-2019,100.84 ,839749,100.91 ,101.30 ,100.38 ,,,
07-05-2019,101.05 ,768721,101.28 ,101.42 ,100.11 ,,,
07-03-2019,101.42 ,1180857,99.23 ,101.63 ,99.21 ,,,
07-02-2019,99.66 ,1400110,97.43 ,99.89 ,97.01 ,,,
07-01-2019,97.15 ,1037455,97.04 ,97.45 ,96.42 ,,,
06-28-2019,96.17 ,904258,96.09 ,96.78 ,96.00 ,,,
06-27-2019,96.17 ,579880,95.16 ,96.52 ,95.16 ,,,
06-26-2019,94.61 ,1366896,98.00 ,98.08 ,94.45 ,,,
06-25-2019,98.00 ,777265,97.08 ,98.16 ,96.62 ,,,
06-24-2019,96.87 ,665354,98.19 ,98.57 ,96.30 ,,,
06-21-2019,98.29 ,977776,97.69 ,98.73 ,97.48 ,,,
06-20-2019,97.74 ,450341,96.99 ,97.89 ,96.53 ,,,
06-19-2019,96.51 ,427977,95.89 ,96.95 ,95.44 ,,,
06-18-2019,95.91 ,517251,95.43 ,96.33 ,95.26 ,,,
06-17-2019,95.17 ,433923,95.93 ,96.21 ,95.07 ,,,
06-14-2019,95.71 ,391269,95.62 ,95.99 ,95.00 ,,,
06-13-2019,95.44 ,478415,95.30 ,95.52 ,94.29 ,,,
06-12-2019,95.45 ,530672,94.96 ,95.71 ,94.76 ,,,
06-11-2019,95.26 ,439613,97.25 ,97.47 ,95.13 ,,,
06-10-2019,96.67 ,433545,96.60 ,97.11 ,96.25 ,,,
06-07-2019,96.16 ,607477,96.05 ,96.96 ,95.54 ,,,
06-06-2019,95.89 ,601058,96.25 ,96.33 ,95.34 ,,,
06-05-2019,96.18 ,976330,93.04 ,96.32 ,92.98 ,,,
06-04-2019,92.76 ,650058,91.50 ,92.94 ,91.02 ,,,
06-03-2019,90.71 ,638626,90.60 ,91.48 ,90.17 ,,,
05-31-2019,90.64 ,541179,90.33 ,90.99 ,89.73 ,,,
05-30-2019,90.65 ,472477,90.60 ,91.50 ,90.29 ,,,
05-29-2019,90.34 ,508491,90.02 ,90.44 ,89.62 ,,,
05-28-2019,89.97 ,671542,90.11 ,91.25 ,89.96 ,,,
05-24-2019,90.03 ,327705,90.42 ,90.91 ,89.81 ,,,
05-23-2019,90.02 ,542456,89.47 ,90.48 ,89.18 ,,,
05-22-2019,90.36 ,591722,90.81 ,91.05 ,90.07 ,,,
05-21-2019,91.28 ,553109,90.88 ,91.51 ,90.86 ,,,
05-20-2019,90.26 ,415921,90.00 ,90.45 ,89.80 ,,,
05-17-2019,90.30 ,822762,90.69 ,91.06 ,90.17 ,,,
05-16-2019,90.93 ,593382,90.87 ,91.21 ,90.15 ,,,
05-15-2019,90.76 ,398492,90.68 ,91.52 ,90.26 ,,,
05-14-2019,91.17 ,590740,91.15 ,92.19 ,91.08 ,,,
05-13-2019,90.90 ,616973,91.32 ,91.32 ,90.21 ,,,
05-10-2019,92.51 ,593735,90.88 ,92.60 ,90.40 ,,,
05-09-2019,91.16 ,400238,90.15 ,91.38 ,89.58 ,,,
05-08-2019,90.99 ,367210,90.81 ,91.57 ,90.57 ,,,
05-07-2019,90.90 ,455391,92.09 ,92.49 ,90.45 ,,,
05-06-2019,92.73 ,391062,91.72 ,92.92 ,91.05 ,,,
05-03-2019,92.12 ,420708,92.61 ,92.95 ,92.03 ,,,
05-02-2019,92.26 ,689838,92.45 ,92.95 ,91.98 ,,,
05-01-2019,92.32 ,716159,92.19 ,93.32 ,91.63 ,,,
04-30-2019,92.20 ,707153,91.44 ,92.32 ,91.34 ,,,
